               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070481,            0.067811,            0.062058,             0.21401,             0.45389,             0.17531,             0.09607,            0.038011,            0.026336,            0.058613,            0.070125,           0.0033194,           0.0033194
                   1,             0.05036,            0.054685,            0.042499,             0.62211,             0.50294,             0.52248,             0.29997,            0.034922,            0.024121,            0.039101,            0.040092,           0.0066198,           0.0066198
                   2,            0.048345,            0.051762,            0.025355,             0.68863,             0.52471,             0.58148,             0.35172,            0.034281,            0.025894,            0.030154,            0.010026,           0.0098872,           0.0098872
                   3,            0.042436,            0.050932,            0.019065,             0.66016,             0.66157,             0.71941,             0.43614,            0.031341,            0.025752,            0.024905,           0.0098515,           0.0098515,           0.0098515
                   4,            0.038465,            0.051024,            0.015324,              0.7563,             0.75641,             0.82917,             0.54725,            0.029098,            0.025179,            0.017826,           0.0098515,           0.0098515,           0.0098515
                   5,            0.036554,             0.05006,            0.011717,             0.83621,             0.80587,             0.89508,              0.5954,            0.026779,            0.024116,            0.010598,            0.009802,            0.009802,            0.009802
                   6,             0.03536,            0.048994,            0.010043,             0.78531,              0.8085,             0.88194,             0.57384,            0.026984,            0.024301,           0.0084931,           0.0097525,           0.0097525,           0.0097525
                   7,            0.034536,            0.047866,           0.0088297,             0.83946,             0.86262,             0.92093,             0.65101,            0.024348,            0.022952,           0.0075081,            0.009703,            0.009703,            0.009703
                   8,            0.033882,            0.048978,            0.008514,             0.82635,             0.84406,               0.922,             0.66584,            0.025395,            0.022688,             0.00785,           0.0096535,           0.0096535,           0.0096535
                   9,            0.032472,            0.046885,           0.0074656,               0.799,             0.84646,             0.91759,             0.66058,            0.023966,            0.023721,           0.0075957,            0.009604,            0.009604,            0.009604
                  10,            0.031951,            0.047869,           0.0071129,             0.84209,             0.83825,               0.917,             0.67607,            0.022273,            0.022935,            0.014343,           0.0095545,           0.0095545,           0.0095545
                  11,            0.031029,            0.046525,           0.0065882,              0.7969,             0.81295,             0.89246,             0.65793,            0.021224,            0.022967,             0.01039,            0.009505,            0.009505,            0.009505
                  12,            0.031325,             0.04492,            0.006952,             0.83081,             0.89549,             0.93424,             0.68915,            0.021075,            0.022087,           0.0070897,           0.0094555,           0.0094555,           0.0094555
                  13,             0.03063,             0.04595,           0.0076483,             0.83853,             0.83426,             0.90827,             0.67153,            0.021676,             0.02274,           0.0055343,            0.009406,            0.009406,            0.009406
                  14,            0.030032,            0.045697,           0.0058248,             0.80137,             0.84403,             0.89206,             0.65822,            0.021847,            0.022432,           0.0086846,           0.0093565,           0.0093565,           0.0093565
                  15,            0.029427,            0.044908,           0.0050145,             0.84623,              0.8605,              0.9269,             0.69115,            0.021866,            0.021822,           0.0061669,            0.009307,            0.009307,            0.009307
                  16,            0.029029,            0.043821,           0.0048462,             0.86913,             0.88337,             0.94206,             0.70534,            0.021556,             0.02142,           0.0044165,           0.0092575,           0.0092575,           0.0092575
                  17,            0.028878,            0.043396,           0.0047132,             0.84506,             0.85725,             0.93321,             0.69938,            0.021497,            0.022111,           0.0068225,            0.009208,            0.009208,            0.009208
                  18,            0.028499,            0.043179,           0.0045983,             0.87972,             0.87124,             0.93346,             0.71022,            0.020996,            0.022707,           0.0053857,           0.0091585,           0.0091585,           0.0091585
                  19,            0.027834,            0.043491,           0.0045546,             0.84213,             0.89991,             0.93575,             0.71158,            0.021806,            0.021309,           0.0045495,            0.009109,            0.009109,            0.009109
                  20,            0.027947,             0.04221,           0.0041367,             0.88519,             0.85766,             0.93981,             0.72346,            0.020275,            0.021513,           0.0054842,           0.0090595,           0.0090595,           0.0090595
                  21,            0.027462,            0.041815,           0.0034903,             0.86938,             0.88553,             0.94527,              0.7284,             0.02001,            0.021014,           0.0029323,             0.00901,             0.00901,             0.00901
                  22,            0.027508,            0.042445,           0.0038795,             0.86456,             0.89479,             0.94427,             0.72894,            0.019826,            0.021053,           0.0032296,           0.0089605,           0.0089605,           0.0089605
                  23,            0.026824,            0.041392,           0.0034458,             0.90037,             0.88586,              0.9538,               0.733,            0.019214,             0.02043,           0.0035566,            0.008911,            0.008911,            0.008911
                  24,            0.027057,            0.042666,           0.0037324,             0.88585,              0.8768,             0.94842,             0.72942,            0.019343,            0.020812,           0.0040328,           0.0088615,           0.0088615,           0.0088615
                  25,            0.026974,            0.042546,           0.0039561,             0.85714,             0.87131,             0.93118,             0.70878,            0.020391,            0.021436,           0.0047551,            0.008812,            0.008812,            0.008812
                  26,            0.026265,            0.042143,           0.0038452,             0.85842,             0.88086,             0.94153,             0.72401,             0.01916,            0.021091,           0.0037761,           0.0087625,           0.0087625,           0.0087625
                  27,            0.026787,            0.041028,           0.0032594,             0.87495,             0.91166,             0.95471,             0.73593,            0.019569,            0.020472,           0.0038143,            0.008713,            0.008713,            0.008713
                  28,            0.025627,            0.041212,           0.0031828,             0.87156,             0.89567,             0.94401,             0.73399,            0.018929,            0.020391,           0.0041282,           0.0086635,           0.0086635,           0.0086635
                  29,            0.025989,            0.040387,           0.0029326,              0.8542,             0.87989,             0.93648,             0.72327,            0.019057,            0.020353,           0.0056692,            0.008614,            0.008614,            0.008614
                  30,            0.026041,            0.040757,           0.0029833,             0.86769,             0.90078,             0.95114,             0.74264,            0.019666,            0.020568,            0.003585,           0.0085645,           0.0085645,           0.0085645
                  31,            0.025598,            0.040459,            0.002919,             0.88374,             0.91921,             0.95811,             0.75634,            0.018545,            0.020309,           0.0022451,            0.008515,            0.008515,            0.008515
                  32,            0.025305,            0.039466,           0.0028001,             0.88366,             0.89573,             0.95316,             0.74721,            0.019246,            0.020743,           0.0027552,           0.0084655,           0.0084655,           0.0084655
                  33,            0.025774,            0.039314,            0.002647,             0.86604,             0.89539,             0.94731,             0.74197,            0.018894,            0.020499,           0.0034699,            0.008416,            0.008416,            0.008416
                  34,            0.025144,            0.040827,           0.0030966,             0.88014,             0.88834,             0.94761,             0.74559,            0.018776,            0.020015,           0.0044618,           0.0083665,           0.0083665,           0.0083665
                  35,            0.025187,            0.039629,           0.0026261,             0.86444,             0.89972,             0.94543,             0.74167,            0.018747,            0.020105,           0.0042577,            0.008317,            0.008317,            0.008317
                  36,            0.024995,            0.038448,           0.0024571,             0.87653,             0.88484,              0.9431,             0.74417,            0.018647,            0.020767,           0.0048274,           0.0082675,           0.0082675,           0.0082675
                  37,            0.024447,            0.039067,           0.0023818,             0.87302,             0.89376,             0.94778,             0.74266,            0.018699,            0.020826,           0.0025462,            0.008218,            0.008218,            0.008218
                  38,            0.024724,             0.03808,           0.0027945,             0.86379,             0.90848,             0.95154,             0.74677,            0.018622,            0.020632,           0.0025362,           0.0081685,           0.0081685,           0.0081685
                  39,             0.02459,            0.037689,           0.0023794,             0.86208,             0.88835,             0.94181,             0.73332,            0.018494,            0.020704,           0.0038929,            0.008119,            0.008119,            0.008119
                  40,            0.024662,            0.038967,           0.0022739,             0.91193,              0.8687,              0.9534,             0.74783,            0.018529,            0.020315,           0.0025967,           0.0080695,           0.0080695,           0.0080695
                  41,            0.023559,            0.037242,           0.0027896,             0.88715,             0.88924,              0.9501,             0.73949,            0.018913,            0.020912,           0.0032551,             0.00802,             0.00802,             0.00802
